NAMA,JENIS_KELAMIN,USIA,DUSUN,ALAMAT,RT,RW
Siti Nurhayati,P,35,Sitimulyo,Jl. Raya Utama 123,02,05
Bambang Suryanto,L,48,Sitimulyo,Jl. Raya Utama 126,02,05
Widi Astuti,P,42,Sitimulyo,Jl. Raya Utama 130,02,05
Dono Hermanto,L,55,Sitimulyo,Jl. Raya Utama 134,02,05
Suri Supriatin,P,38,Sitimulyo,Jl. Raya Utama 138,02,05
Hadi Kusuma,L,51,Sitimulyo,Jl. Anggrek 45,03,05
Nunik Wijayanti,P,44,Sitimulyo,Jl. Anggrek 48,03,05
Agus Firmansyah,L,39,Sitimulyo,Jl. Anggrek 52,03,05
Rina Haryanti,P,46,Sitimulyo,Jl. Anggrek 56,03,05
Tono Wijaya,L,53,Sitimulyo,Jl. Anggrek 60,03,05
Yanti Susilowati,P,40,Sitimulyo,Jl. Mawar 10,04,05
Joko Santoso,L,49,Sitimulyo,Jl. Mawar 14,04,05
Dewi Lestari,P,36,Sitimulyo,Jl. Mawar 18,04,05
Hendra Gunawan,L,52,Sitimulyo,Jl. Mawar 22,04,05
Tina Hermawan,P,41,Sitimulyo,Jl. Mawar 26,04,05
Surya Pratama,L,45,Sitimulyo,Jl. Putih 5,01,06
Eka Wulandari,P,37,Sitimulyo,Jl. Putih 8,01,06
Bambang Wiranto,L,54,Sitimulyo,Jl. Putih 11,01,06
Mira Kusuma,P,43,Sitimulyo,Jl. Putih 14,01,06
Slamet Riyanto,L,50,Sitimulyo,Jl. Putih 17,01,06
Ani Sumarni,P,39,Sitimulyo,Jl. Kuning 20,05,06
Riyo Gunanto,L,48,Sitimulyo,Jl. Kuning 23,05,06
Puji Hartono,P,44,Sitimulyo,Jl. Kuning 26,05,06
Sardi Hermanto,L,51,Sitimulyo,Jl. Kuning 29,05,06
Yuli Suwardi,P,40,Sitimulyo,Jl. Kuning 32,05,06
Adi Surisman,L,47,Sitimulyo,Jl. Biru 7,06,06
Nita Wijayanti,P,38,Sitimulyo,Jl. Biru 10,06,06
Tris Santoso,L,55,Sitimulyo,Jl. Biru 13,06,06
