NAMA,JENIS_KELAMIN,USIA,DUSUN,ALAMAT,RT,RW
Siti Nurhayati,P,35,Sitimulyo,Jl. Raya 123,02,05
Bambang Sutrisno,L,42,Sitimulyo,Jl. Sipon 45,01,04
Dwi Setiawan,L,38,Sitimulyo,Jl. Merdeka 67,02,05
Nur Azizah,P,29,Sitimulyo,Jl. Pendidikan 89,03,06
Adi Prasetyo,L,45,Sitimulyo,Jl. Soekarno 111,01,04
Elis Nurmalasari,P,33,Sitimulyo,Jl. Gatot Subroto 23,02,05
Gede Wardana,L,41,Sitimulyo,Jl. Ahmad Yani 34,03,06
Herlina Wijaya,P,37,Sitimulyo,Jl. Diponegoro 45,01,04
Iwan Kusuma,L,40,Sitimulyo,Jl. Sultan Agung 56,02,05
Joko Santoso,L,36,Sitimulyo,Jl. Hasanuddin 67,03,06
Kartini Handoko,P,34,Sitimulyo,Jl. Imam Bonjol 78,01,04
Lukman Hakim,L,44,Sitimulyo,Jl. Yani 89,02,05
Maryam Soleha,P,31,Sitimulyo,Jl. Sudirman 90,03,06
Nurdiyanto,L,39,Sitimulyo,Jl. Thamrin 11,01,04
Oci Kusuma,P,30,Sitimulyo,Jl. Terusan 22,02,05
Purnomo Sidiq,L,43,Sitimulyo,Jl. Veteran 33,03,06
Queensya Handayani,P,28,Sitimulyo,Jl. Gajah Mada 44,01,04
Ratna Putri,P,32,Sitimulyo,Jl. Pemuda 55,02,05
Suryo Hadi,L,47,Sitimulyo,Jl. Kramat 66,03,06
Tri Budiyanto,L,38,Sitimulyo,Jl. Tanjungsari 77,01,04
Urip Sumoharjo,L,50,Sitimulyo,Jl. Patimura 88,02,05
Vina Oktavia,P,26,Sitimulyo,Jl. Pattimura 99,03,06
Wawan Sudaryanto,L,46,Sitimulyo,Jl. Pattimura 10,01,04
Xenia Handari,P,25,Sitimulyo,Jl. Pattimura 11,02,05
Yayan Ardiansa,L,44,Sitimulyo,Jl. Pattimura 12,03,06
Zainab Zahra,P,29,Sitimulyo,Jl. Pattimura 13,01,04
Amin Suripto,L,41,Sitimulyo,Jl. Pattimura 14,02,05
Budi Santoro,L,35,Sitimulyo,Jl. Pattimura 15,03,06
